Averaged Steps Traning	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Updates target network	Average q-value evaluation
30.0	-21.57	81.0	-29.34	44	380	0.0021023493064077276	0.7947408827451076	4022	6175	-0.4366832673549652
29.0	-0.27	80.0	-50.11	46	400	0.0018947732448577881	0.7893333113323703	4585	6175	-0.43261799216270447
2.0	-0.03	100.0	-59.24	47	420	0.00013367505300612676	0.7840659314794345	5137	6175	-0.44205766916275024
30.0	-23.86	61.0	-32.8	48	440	0.001871148564598777	0.7788178583977378	5691	6175	-0.46379581093788147
30.0	-14.02	86.0	-46.1	53	460	0.001657823894334876	0.7741230593965324	6188	6175	-0.4607090651988983
30.0	-10.05	100.0	-61.49	55	480	0.0017630149920781454	0.7689910066340695	6737	6175	-0.4529174864292145
30.0	-7.94	80.0	-52.63	55	500	0.0016599245071411133	0.7636187452469673	7317	6175	-0.4386681020259857
30.0	-10.28	64.0	-30.75	56	520	0.0014340795003450833	0.7584814307088931	7875	6176	-1.0767099857330322
30.0	-20.1	100.0	-47.66	57	540	0.0015532864464653862	0.7534074767909843	8430	6176	-1.0936187505722046
30.0	-23.09	100.0	-57.9	59	560	0.0013029554060527257	0.7484746245058996	8973	6176	-1.0951082706451416
30.0	-7.94	100.0	-64.32	62	580	0.0013497660899984426	0.7439058923315879	9478	6176	-1.1035113334655762
30.0	-20.97	63.0	-22.97	64	600	0.0015189417203267416	0.7389793843747419	10028	6176	-1.0995811223983765
30.0	-21.22	82.0	-41.9	65	620	0.0012436674487206244	0.7340023473975071	10588	6176	-1.0742589235305786
30.0	-25.97	68.0	-29.72	67	640	0.0013490162789821624	0.7293669097849592	11112	6176	-1.0895065069198608
30.0	-8.13	63.0	-32.51	70	660	0.001303778633926854	0.7245604877147963	11660	6176	-1.084417462348938
30.0	-18.4	100.0	-52.46	72	680	0.001165458735297708	0.7200057868815557	12182	6176	-1.0812443494796753
30.0	-23.35	100.0	-48.92	75	700	0.0011178323200770786	0.7153321232801007	12722	6176	-1.0810520648956299
30.0	-13.54	80.0	-43.41	79	720	0.0010517170031865439	0.71112891393652	13209	6176	-1.058945894241333
30.0	-13.5	100.0	-61.84	80	740	0.001135230386579359	0.7062382109543015	13783	6176	-1.0345009565353394
11.0	-0.22	100.0	-55.35	83	760	0.0003984457568118447	0.7018805564297346	14296	6176	-1.0664159059524536
30.0	-15.65	100.0	-62.19	87	780	0.0010726048396183894	0.697657074001002	14796	6176	-1.0843271017074585
30.0	-9.98	100.0	-56.47	88	800	0.0010970091819763183	0.6930348034755205	15349	6177	-1.6598366498947144
30.0	-21.92	100.0	-56.36	91	820	0.000975120649105165	0.6886849836476981	15872	6177	-1.6679086685180664
30.0	-25.15	64.0	-25.48	95	840	0.0009952976590111141	0.6845073363407466	16377	6177	-1.6388241052627563
30.0	-15.81	46.0	-20.13	98	860	0.0009709629901619844	0.6803648945945153	16881	6177	-1.6092289686203003
30.0	-3.71	82.0	-44.78	98	880	0.0010095566511154174	0.6756548426581656	17461	6177	-1.6403019428253174
30.0	-24.84	100.0	-61.06	100	900	0.0008773390452067058	0.6711740705411212	18016	6177	-1.6579504013061523
30.0	-15.5	80.0	-47.26	103	920	0.0008558110050533129	0.6668101940829373	18560	6177	-1.639121651649475
30.0	-17.55	100.0	-62.69	105	940	0.0009651042045430934	0.6625611961345188	19093	6177	-1.6123236417770386
6.0	-0.22	81.0	-38.9	110	960	0.0001476397116978963	0.6588435568980519	19560	6177	-1.6284383535385132
30.0	-11.27	100.0	-57.18	113	980	0.0008133243541328275	0.6546343223864247	20095	6177	-1.6348241567611694
3.0	-0.12	82.0	-48.28	115	1000	9.98082160949707e-05	0.6504166611660935	20635	6177	-1.6039237976074219
30.0	-18.21	100.0	-34.06	116	1020	0.0008455304538502413	0.6461464447104401	21186	6177	-1.6495071649551392
9.0	-0.18	100.0	-41.86	120	1040	0.0002329035447194026	0.642010191131129	21723	6177	-1.6294662952423096
30.0	-19.5	81.0	-48.29	124	1060	0.0007917698824180747	0.6380790334434034	22236	6177	-1.6184724569320679
30.0	-25.49	100.0	-35.85	127	1080	0.0007318026489681668	0.6341593758703744	22751	6178	-2.1702566146850586
30.0	-22.43	100.0	-47.68	130	1100	0.0007387798482721502	0.6301788102048047	23278	6178	-2.1629385948181152
4.0	-0.09	100.0	-48.45	134	1120	7.602402142116001e-05	0.6262974014932139	23795	6178	-2.1794707775115967
30.0	-6.28	100.0	-48.62	137	1140	0.0007666845070688348	0.622456270717214	24310	6178	-2.1726651191711426
30.0	-21.09	100.0	-70.85	139	1160	0.0006509799381782268	0.6183849110340714	24861	6178	-2.2087974548339844
30.0	-22.96	100.0	-49.54	142	1180	0.0007134570913799738	0.6144553870105245	25396	6178	-2.206991195678711
30.0	-23.51	100.0	-48.73	143	1200	0.0006934348742167154	0.6103918938846818	25954	6178	-2.200434923171997
30.0	-26.56	87.0	-38.2	146	1220	0.0007401673520197634	0.6065732840596879	26481	6178	-2.224026679992676
30.0	-24.75	42.0	-14.89	148	1240	0.0007421364707331504	0.6025596268583719	27040	6178	-2.165146589279175
12.0	-0.07	89.0	-38.25	151	1260	0.00027532028773474316	0.5989384649270425	27546	6178	-2.162886142730713
30.0	-8.89	100.0	-52.19	153	1280	0.0005760513246059418	0.5950139275554668	28100	6178	-2.171969413757324
30.0	-25.28	100.0	-53.03	156	1300	0.0006248121995192308	0.5915234382751924	28594	6178	-2.2234256267547607
30.0	-28.67	100.0	-50.39	159	1320	0.0005703895381002715	0.5879477031974919	29104	6178	-2.1862714290618896
13.0	-0.14	100.0	-43.15	162	1340	0.0002887569256682894	0.5842820320713038	29631	6178	-2.191434621810913
30.0	-18.59	100.0	-40.48	165	1360	0.0006199805175556856	0.5806678722090508	30154	6179	-2.7941601276397705
30.0	-23.26	100.0	-48.87	170	1380	0.0005922530008398968	0.5771572280464323	30665	6179	-2.761183500289917
30.0	-15.49	100.0	-44.16	172	1400	0.000668508665902274	0.5734211245301286	31214	6179	-2.774775743484497
30.0	-18.48	100.0	-50.82	174	1420	0.0006059599594331124	0.5697764677712582	31753	6179	-2.7889697551727295
30.0	-18.93	100.0	-34.28	178	1440	0.0005495157506730822	0.5663895122868325	32256	6179	-2.8141839504241943
30.0	-20.43	71.0	-33.54	181	1460	0.0005784436447979652	0.5630246268039647	32759	6179	-2.8173069953918457
30.0	-20.93	100.0	-31.22	183	1480	0.0005847463736662993	0.5594141548633887	33304	6179	-2.792715311050415
30.0	-17.8	41.0	-20.56	186	1500	0.0005356129010518392	0.5560630921127165	33812	6179	-2.7995717525482178
30.0	-8.12	65.0	-39.33	186	1520	0.0005518492899442974	0.552281816430393	34392	6179	-2.7086451053619385
10.0	-0.13	84.0	-40.73	188	1540	0.00019613736635678774	0.5488342366513406	34923	6179	-2.7614545822143555
30.0	-16.55	80.0	-49.16	189	1560	0.0005127099844125601	0.5452183861833608	35485	6179	-2.8307340145111084
30.0	-22.9	100.0	-44.07	191	1580	0.0005485911912555936	0.5417639620700276	36025	6179	-2.8094193935394287
