Averaged Steps Traning	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Updates target network	Average q-value evaluation
150.0	-47.51	62.0	-18.89	200	380	0.007144883431886372	0.5874234597970619	29958	6342	-1.2667735815048218
150.0	-50.05	62.0	-20.29	213	400	0.007433346509933472	0.5774208725660929	31441	6343	-1.6583667993545532
150.0	-57.03	86.0	-25.44	226	420	0.006783520607721238	0.5674297926112781	32951	6343	-1.6338293552398682
9.0	-0.13	100.0	-26.25	234	440	0.0004818477413871072	0.553073533604883	35182	6343	-1.6347846984863281
150.0	-78.97	100.0	-38.51	247	460	0.0063756103100983995	0.5421513787154403	36918	6343	-1.6286026239395142
150.0	-63.08	45.0	-18.81	258	480	0.006189899146556854	0.5295623175487926	38971	6344	-1.9869922399520874
29.0	-0.44	100.0	-38.33	271	500	0.001114497184753418	0.5187930201926275	40768	6344	-1.994507074356079
150.0	-60.16	77.0	-23.02	282	520	0.005718778188412006	0.508483291550174	42527	6344	-1.9610589742660522
150.0	-46.44	29.0	-8.81	291	540	0.005366976172835739	0.49470509271920204	44948	6344	-1.9826887845993042
8.0	-0.13	100.0	-27.58	304	560	0.0002504914999008179	0.48455014626994264	46776	6345	-2.353734016418457
150.0	-54.54	100.0	-39.01	315	580	0.004910830793709591	0.474133748253626	48697	6345	-2.3345484733581543
150.0	-49.95	58.0	-18.06	324	600	0.005172370274861653	0.46327938840260235	50751	6345	-2.3437116146087646
150.0	-53.05	80.0	-33.69	338	620	0.004691443135661464	0.4544482730104381	52459	6345	-2.359229564666748
150.0	-60.75	62.0	-15.39	353	640	0.004342446476221085	0.44780476689161514	53764	6346	-2.7225887775421143
23.0	-0.4	81.0	-27.17	365	660	0.0006447073185082638	0.43840023811537043	55658	6346	-2.6749255657196045
27.0	-0.32	63.0	-22.56	379	680	0.0008195375694948085	0.43132378723527515	57109	6346	-2.7125086784362793
150.0	-64.46	80.0	-35.38	394	700	0.004300096035003662	0.42389924004950613	58662	6346	-2.718191623687744
115.0	-0.31	80.0	-22.53	406	720	0.002916632095972697	0.4153200612498792	60499	6347	-3.0425193309783936
150.0	-50.97	80.0	-38.84	418	740	0.004378927398372341	0.4060198007837512	62542	6347	-3.0092110633850098
76.0	-0.26	100.0	-28.8	428	760	0.001966488988775956	0.39703437883243287	64567	6347	-3.010817289352417
3.0	-0.15	80.0	-35.02	439	780	7.949058826153094e-05	0.38837723380681966	66568	6347	-3.036867380142212
20.0	-0.2	80.0	-35.08	451	800	0.0004519939422607422	0.3804685016097379	68440	6348	-3.350065231323242
150.0	-62.48	81.0	-32.33	464	820	0.0034481755117090735	0.3729746539770425	70255	6348	-3.3555169105529785
56.0	-0.34	82.0	-26.09	477	840	0.0012961001623244513	0.3648114378176462	72283	6348	-3.3472073078155518
150.0	-55.64	100.0	-33.45	489	860	0.003383444076360658	0.3578880828237793	74042	6348	-3.3647823333740234
65.0	-0.58	81.0	-22.77	500	880	0.0014657258987426757	0.35045150186449825	75978	6349	-3.6996829509735107
150.0	-34.74	100.0	-26.2	515	900	0.0033142087194654676	0.344866835542235	77459	6349	-3.6898019313812256
150.0	-50.47	100.0	-49.12	529	920	0.0032277330108310865	0.3392666275544088	78973	6349	-3.678558826446533
16.0	-0.46	82.0	-27.35	542	940	0.0004090846853053316	0.33306423465984963	80687	6349	-3.6874310970306396
85.0	-0.23	100.0	-26.63	556	960	0.0019130595028400421	0.3274106361647497	82281	6349	-3.6965138912200928
150.0	-53.16	100.0	-26.5	566	980	0.0030970821575242646	0.31955200750446633	84560	6350	-4.005612373352051
2.0	-0.12	81.0	-22.84	581	1000	3.12962532043457e-05	0.3134066009328527	86385	6350	-3.9830996990203857
150.0	-45.81	80.0	-30.17	598	1020	0.0030965468462775736	0.3086042367164173	87837	6350	-4.008427143096924
150.0	-31.46	100.0	-30.78	610	1040	0.00311261209157797	0.3024874007585081	89732	6350	-4.006302833557129
150.0	-56.42	100.0	-35.11	621	1060	0.0029667127807185335	0.297110683967596	91434	6351	-4.3105549812316895
123.0	-0.32	64.0	-25.93	636	1080	0.0025355985871067755	0.2922327036558401	93009	6351	-4.314637184143066
150.0	-43.16	100.0	-31.9	646	1100	0.002827275883067738	0.2857769779376008	95150	6351	-4.3224382400512695
120.0	-0.28	81.0	-23.25	661	1120	0.002372670599392482	0.2807849557578123	96842	6351	-4.303563594818115
150.0	-50.08	100.0	-32.19	674	1140	0.002816174113959597	0.27559105059403266	98643	6352	-4.669334411621094
46.0	-0.32	100.0	-34.84	689	1160	0.0008152932956300932	0.2704589146668906	100464	6352	-4.694084644317627
150.0	-62.52	66.0	-18.45	704	1180	0.0028087391691692803	0.26680511218668346	101781	6352	-4.668778896331787
150.0	-50.64	100.0	-45.65	718	1200	0.0026024170716603596	0.2621670316265353	103491	6352	-4.664217948913574
150.0	-64.83	100.0	-36.3	732	1220	0.002627175166958668	0.2585202897563523	104858	6352	-4.662642955780029
16.0	-0.26	73.0	-29.3	746	1240	0.00035812643266493275	0.2536466429368314	106730	6353	-5.030934810638428
63.0	-0.31	64.0	-20.06	756	1260	0.0011359341560848175	0.24897393763401365	108567	6353	-5.044671535491943
29.0	-0.27	66.0	-21.61	771	1280	0.0005030373111367225	0.24485366666327463	110221	6353	-5.014319896697998
150.0	-44.37	81.0	-25.6	786	1300	0.002552808981675368	0.24114338428719967	111739	6353	-5.012848377227783
