Training steps	Validation return	Validation steps	Validation return std	Validation steps std	Q-value evaluation	Q-network loss	Policy-network loss	Alpha loss	Log Pi
35000	-0.32638301789713836	60.0	0.061843912999178165	0.0	0.0	0.2211842	-0.0031933158	-19.723793	-1.2877052
36000	-0.34097036188737834	60.0	0.11866408351253956	0.0	0.0	0.21895888	-0.0024774098	-21.093807	-1.3485935
37000	-0.3411733622874084	60.0	0.047744836652657566	0.0	0.0	0.21386951	-0.0018409608	-22.12498	-1.3526568
38000	-0.3226640336480558	60.0	0.044193321760667266	0.0	0.0	0.22671255	-0.001424071	-23.542336	-1.4123377
39000	-0.3203318986783119	60.0	0.09334524646686146	0.0	0.0	0.2125501	-0.0010082155	-24.115786	-1.3497798
40000	-0.2777567737612996	60.0	0.007182805761379657	0.0	0.0	0.24626878	-0.0007616702	-25.319569	-1.376337
41000	-0.3208649683926213	60.0	0.05705266783997982	0.0	0.0	0.19431686	-0.0005469906	-26.004435	-1.3342619
42000	-0.3715868640078775	60.0	0.07460731529832605	0.0	0.0	0.21455005	-0.00040167358	-26.909674	-1.3225405
43000	-0.2974784073377425	60.0	0.12903547795978315	0.0	0.0	0.2313178	-0.00029477323	-27.801807	-1.3100922
44000	-0.26614174790530115	60.0	0.034121552792644665	0.0	0.0	0.22056311	-0.00022363888	-29.069836	-1.3417
45000	-0.3040636848461989	60.0	0.034723742816255586	0.0	0.0	0.21678467	-0.0001624939	-29.83949	-1.3158482
46000	-0.242251730185329	60.0	0.04567143245906772	0.0	0.0	0.22629014	-0.000121580175	-30.957954	-1.3291163
47000	-0.31254990574506525	60.0	0.026022958068442372	0.0	0.0	0.2344963	-9.158091e-05	-32.17109	-1.3514467
48000	-0.4214823001739011	60.0	0.1371809011293565	0.0	0.0	0.19093624	-6.8100446e-05	-33.22372	-1.3562796
49000	-0.31066114924714466	60.0	0.08048228911190583	0.0	0.0	0.21549004	-4.7933707e-05	-33.540237	-1.2885981
50000	-0.30542919080357794	60.0	0.1122789025480881	0.0	0.0	0.20508045	-3.6539437e-05	-34.917843	-1.3258629
51000	-0.3683846591753217	60.0	0.12585514263182593	0.0	0.0	0.21609172	-2.7066517e-05	-35.9181	-1.3260272
52000	-0.2778756113283669	60.0	0.06556353393247435	0.0	0.0	0.228284	-2.026862e-05	-37.077736	-1.3405683
53000	-0.3036851398500694	60.0	0.09006945945488147	0.0	0.0	0.24126744	-1.5528794e-05	-38.596783	-1.3859991
54000	-0.03974723997026186	48.2	0.5265357715470479	23.599999999999994	0.0	0.21489328	-1.1131064e-05	-39.088593	-1.3411841
55000	-0.2696198811337819	60.0	0.014994144935971704	0.0	0.0	0.20580065	-8.297956e-06	-40.18787	-1.349323
56000	-0.37153004737825374	60.0	0.08413223730739745	0.0	0.0	0.21716797	-5.9819413e-06	-40.74846	-1.3131752
57000	-0.36467817134566666	60.0	0.12694465756660478	0.0	0.0	0.22208802	-4.5248617e-06	-42.087433	-1.3406055
58000	-0.3250991750470675	60.0	0.09997799196989689	0.0	0.0	0.24189666	-3.1789643e-06	-42.19791	-1.2714558
59000	-0.31620800578341957	60.0	0.09047532519338707	0.0	0.0	0.19340774	-2.520725e-06	-44.362804	-1.3610867
60000	-0.3142794753534114	60.0	0.04202144727091395	0.0	0.0	0.20722675	-1.8872347e-06	-45.563538	-1.3753713
61000	-0.3772790564942003	60.0	0.13913437492655908	0.0	0.0	0.2263636	-1.3420137e-06	-45.817097	-1.3203375
62000	-0.2706908142077954	60.0	0.0678336343218667	0.0	0.0	0.19518492	-1.0259924e-06	-47.409332	-1.3626132
63000	-0.2882280084533318	60.0	0.03738882269963572	0.0	0.0	0.22497234	-7.293165e-07	-47.621487	-1.3073156
64000	-0.2750307972930856	60.0	0.06404328369925745	0.0	0.0	0.19461435	-5.9949826e-07	-50.7181	-1.4504977
65000	-0.3086989459970154	60.0	0.05269378300201362	0.0	0.0	0.23820558	-4.1692843e-07	-50.417835	-1.3614951
66000	-0.3527235817446571	60.0	0.05296550680537703	0.0	0.0	0.22059228	-3.1808062e-07	-52.048203	-1.4021415
67000	-0.08650605064512754	48.2	0.5498708548610423	23.599999999999998	0.0	0.22846578	-2.2416269e-07	-52.004128	-1.3338788
68000	-0.35649964722745475	60.0	0.0987256346142347	0.0	0.0	0.21433526	-1.6859677e-07	-53.327873	-1.3542308
69000	-0.3464438823383023	60.0	0.07596192752433492	0.0	0.0	0.22343922	-1.2346459e-07	-54.080204	-1.3385701
70000	-0.3382474915061021	60.0	0.06720026442557253	0.0	0.0	0.20698893	-9.3371185e-08	-55.538208	-1.3662655
71000	-0.29657385429951244	60.0	0.06595562213903267	0.0	0.0	0.18899563	-6.626819e-08	-55.58358	-1.3088592
72000	-0.3235183549062427	60.0	0.11519660506286872	0.0	0.0	0.23769096	-4.9460372e-08	-56.744625	-1.3187014
73000	-0.3603147200624345	60.0	0.06414916577901893	0.0	0.0	0.23385309	-3.525791e-08	-56.87012	-1.2687199
74000	-0.36188563290315295	60.0	0.12794352779814563	0.0	0.0	0.24901065	-2.7200711e-08	-58.778896	-1.3211714
75000	-0.3546656484914647	60.0	0.1065214877596463	0.0	0.0	0.20073462	-2.0196177e-08	-59.82822	-1.3241191
76000	-0.31419856219961784	60.0	0.07544350898370536	0.0	0.0	0.18662202	-1.5311825e-08	-61.39485	-1.355221
77000	-0.2836166527045922	60.0	0.10908083117640464	0.0	0.0	0.24826571	-1.1470078e-08	-62.6782	-1.3701339
78000	-0.3097732604932174	60.0	0.04653873274354255	0.0	0.0	0.2218281	-8.282363e-09	-63.035194	-1.3355204
79000	-0.32290092401565096	60.0	0.09223816777245093	0.0	0.0	0.2203672	-6.1911263e-09	-64.2651	-1.3474753
80000	-0.31695445422430735	60.0	0.07991711280038012	0.0	0.0	0.21608461	-4.6766244e-09	-65.78502	-1.3739262
81000	-0.2923692269508723	60.0	0.0444257383849759	0.0	0.0	0.19886643	-3.2574676e-09	-65.16943	-1.2917199
82000	-0.33579038520199644	60.0	0.09981521002657075	0.0	0.0	0.19658437	-2.6402789e-09	-68.60071	-1.4133081
83000	-0.06094481333905867	48.2	0.5317813161324078	23.599999999999994	0.0	0.24048948	-1.8637392e-09	-68.263	-1.3465642
84000	-0.29039613758422417	60.0	0.08780538383922226	0.0	0.0	0.19891131	-1.3754843e-09	-69.15524	-1.3412001
85000	-0.34866931621059044	60.0	0.09911007691399176	0.0	0.0	0.22742891	-9.795035e-10	-69.063835	-1.2891239
86000	-0.2900254588492196	60.0	0.08766041426036685	0.0	0.0	0.2278813	-7.721414e-10	-71.81444	-1.3719234
87000	-0.30322015506267974	60.0	0.11543908681433572	0.0	0.0	0.23907414	-5.35888e-10	-70.955124	-1.2852964
88000	-0.3306266439269979	60.0	0.06350294632080353	0.0	0.0	0.2090065	-4.079981e-10	-72.71704	-1.3207657
89000	-0.27013893161107905	60.0	0.036733031979294783	0.0	0.0	0.218104	-3.0573583e-10	-74.04515	-1.3357443
90000	-0.2701349273557992	60.0	0.04916012015886515	0.0	0.0	0.20876426	-2.2446782e-10	-74.778	-1.323833
91000	-0.28648512835235046	60.0	0.06720251204451788	0.0	0.0	0.22286493	-1.7181223e-10	-76.778366	-1.3678346
92000	-0.31550204103657825	60.0	0.07854089153507228	0.0	0.0	0.19335401	-1.255065e-10	-77.34648	-1.3486952
93000	-0.294331277247597	60.0	0.06308608406293728	0.0	0.0	0.20960507	-8.8737274e-11	-76.90814	-1.2870398
94000	-0.2528611156848619	60.0	0.04162824500131775	0.0	0.0	0.21063243	-6.793771e-11	-78.91311	-1.3300408
95000	-0.36375304182577717	60.0	0.0460239955607562	0.0	0.0	0.22709739	-5.1534936e-11	-80.675865	-1.3618696
96000	-0.33924120896173865	60.0	0.10743206753797141	0.0	0.0	0.21453124	-4.0090337e-11	-83.33717	-1.4299091
97000	-0.33628725772380685	60.0	0.08971339605177676	0.0	0.0	0.21640234	-2.6909936e-11	-81.06375	-1.295645
98000	-0.2663615127436786	60.0	0.04062036357482972	0.0	0.0	0.23285334	-2.1832354e-11	-85.11651	-1.4187329
99000	-0.2680938083594827	60.0	0.09325713819503369	0.0	0.0	0.20417766	-1.5138722e-11	-83.85692	-1.3280303
100000	-0.017096190087200435	48.2	0.5131085389535937	23.599999999999998	0.0	0.23518157	-1.13651345e-11	-85.30623	-1.3457229
101000	-0.3123637322543953	60.0	0.07088246961345081	0.0	0.0	0.24369958	-8.554766e-12	-86.86633	-1.3672953
102000	-0.3233812514456439	60.0	0.1071111547214292	0.0	0.0	0.22527865	-5.914246e-12	-85.49225	-1.2759368
103000	-0.3406290001590238	60.0	0.11650564600389428	0.0	0.0	0.20977128	-4.4271076e-12	-86.82402	-1.289166
104000	-0.336933558712178	60.0	0.09822976573090074	0.0	0.0	0.22855288	-3.3255484e-12	-88.29352	-1.307244
