Averaged Steps Traing	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Updates target network	Average q-value evaluation
150.0	8.81	0.0	0.0	4	175	0.02592231205531529	0.6178376248963863	25796	144	0.5519682765007019
150.0	8.39	0.0	0.0	4	180	0.0235377656088935	0.6114049426081488	26541	144	0.5539993643760681
131.0	0.15	0.0	0.0	5	185	0.021504676664197767	0.6052121268947375	27267	145	0.5593576431274414
150.0	10.81	28.0	6.86	5	190	0.020026082741586786	0.5989362810615405	28012	145	0.5613241791725159
150.0	10.13	0.0	0.0	5	195	0.0216519710345146	0.5927383950373531	28757	146	0.5701085329055786
150.0	9.52	0.0	0.0	5	200	0.020806363821029662	0.5866175003898746	29502	146	0.5683445930480957
150.0	10.08	0.0	0.0	5	205	0.019360573698834677	0.5805726407168628	30247	147	0.573718249797821
150.0	10.55	0.0	0.0	5	210	0.01919418516613188	0.5746028714966956	30992	147	0.573406994342804
150.0	8.87	0.0	0.0	5	215	0.020436008586439975	0.568707259940787	31737	148	0.5822513699531555
150.0	9.93	51.0	13.28	5	220	0.014488580010154031	0.5628848848478364	32482	148	0.5837206840515137
150.0	11.18	0.0	0.0	5	225	0.01886374685499403	0.5571348364598898	33227	149	0.5877453684806824
150.0	9.44	0.0	0.0	5	230	0.01903641638548478	0.5514562163201882	33972	149	0.5863301157951355
150.0	11.33	0.0	0.0	5	235	0.017914553906055206	0.5458481371327814	34717	150	0.5928421020507812
150.0	9.02	0.0	0.0	5	240	0.017164668440818785	0.5403097226238867	35462	150	0.5921186208724976
150.0	9.32	0.0	0.0	5	245	0.017245132095959723	0.534840107404969	36207	151	0.6006187200546265
150.0	10.31	0.0	0.0	5	250	0.01798356056213379	0.5294384368375225	36952	151	0.6029343008995056
150.0	10.4	0.0	0.0	5	255	0.015961192635928885	0.524103866899531	37697	152	0.606665313243866
150.0	9.05	0.0	0.0	5	260	0.015446490507859451	0.5188355640535888	38442	152	0.60604327917099
150.0	10.71	14.0	6.04	5	265	0.016081811796944095	0.5136327051166574	39187	153	0.6104324460029602
150.0	9.52	0.0	0.0	6	270	0.015211804707845052	0.5085080938409576	39930	153	0.6099784970283508
150.0	10.77	0.0	0.0	6	275	0.013464337262240323	0.5034335247994011	40675	154	0.6126701831817627
150.0	10.6	0.0	0.0	7	280	0.011842852830886841	0.49868769628682996	41380	154	0.6118842959403992
150.0	9.29	0.0	0.0	7	285	0.009019809020193	0.49373511818292026	42125	155	0.6142589449882507
150.0	9.68	0.0	0.0	7	290	0.008843229556905812	0.4888440619922868	42870	155	0.6196444630622864
150.0	8.92	0.0	0.0	7	295	0.009284021894810564	0.48401376347744907	43615	156	0.620823085308075
150.0	11.35	0.0	0.0	7	300	0.009021437962849935	0.4792434678944367	44360	156	0.6185767650604248
