Training steps	Validation return	Validation steps	Validation return std	Validation steps std	Q-value evaluation	Q-network loss	Policy-network loss	Alpha loss	Alpha
62000	-0.07654977765907658	36.0	0.083586951929029	18.40652058374966	-15.515471458435059	0.48920292	14.719288	-0.30251083	[0.00728807]
63000	-0.15713684927394855	52.4	0.055452855775630826	15.200000000000001	-15.764021873474121	0.7126237	14.948667	0.7134689	[0.00709035]
64000	-0.1401812505197214	54.2	0.03604681995630846	11.6	-15.879900932312012	1.6729897	14.0755005	2.0110397	[0.00682371]
65000	-0.13008329362793944	60.0	0.018991494270692123	0.0	-16.018434524536133	1.2060969	12.996672	1.4505768	[0.00691331]
66000	0.1267232359235631	37.2	0.4395920381187168	26.452977148139677	-16.235876083374023	0.3904602	14.036434	2.9645743	[0.00778926]
67000	-0.1353160397450853	55.2	0.08691972339571824	6.675327707311454	-16.642704010009766	0.74930334	14.85767	-2.3485446	[0.00757878]
68000	-0.1872177444931647	60.0	0.04952133266296131	0.0	-16.67107582092285	0.5317383	15.144044	0.40998307	[0.00742002]
69000	-0.151077271425776	60.0	0.024838419544745152	0.0	-16.624258041381836	0.66320217	14.714487	-0.18007551	[0.00811933]
70000	-0.12173724028987185	49.2	0.06821737863669011	18.74459922217597	-16.785879135131836	1.3442782	14.547228	-1.7937193	[0.00802246]
71000	-0.16916775323358876	55.2	0.03087386478276488	8.182909018191515	-16.586252212524414	0.4294005	15.193702	1.3209499	[0.00815645]
72000	-0.13724728146757817	48.8	0.040791202267200136	13.731715115017497	-16.8488826751709	0.54354596	15.061094	0.8744153	[0.00803218]
73000	-0.13772888162078448	60.0	0.06496606363855313	0.0	-16.939062118530273	0.8756443	15.015058	-1.1632173	[0.00779116]
74000	-0.05255185818807595	24.8	0.10846753042284724	19.177069640588993	-17.079938888549805	6.4641695	15.691796	2.9440305	[0.0084138]
75000	-0.12888434085762104	56.4	0.02923604703450224	7.2	-16.720521926879883	0.5566327	14.289289	-3.8160408	[0.0088828]
76000	-0.18864234660837978	60.0	0.05368328856871643	0.0	-16.846189498901367	5.569347	14.674503	-2.155807	[0.0088369]
77000	-0.10930760652939926	40.0	0.09891539350608627	24.52753554680943	-16.8483943939209	0.41612342	14.100648	2.5269306	[0.00864768]
78000	-0.09028485071016837	39.6	0.15927930135901605	25.18412198191551	-16.785165786743164	0.4328843	14.512434	3.3774896	[0.00835875]
79000	-0.07305332202371626	40.6	0.14434129286363553	21.721878371816743	-16.47431182861328	0.9118699	14.964459	1.7788682	[0.00873521]
80000	-0.17613100639112061	50.6	0.05256517823213912	15.538339679644025	-16.732572555541992	0.5806807	15.205954	-2.7895432	[0.00911338]
81000	-0.1347713787553666	49.8	0.10348339193100166	20.400000000000002	-16.54217529296875	0.9439527	13.744155	-0.28895313	[0.00885128]
82000	-0.1686450612881433	52.6	0.07625475829276264	14.8	-16.427759170532227	6.5999074	14.675397	0.9603789	[0.00923639]
83000	-0.07541632023336871	37.2	0.07890132910934548	20.1037309970065	-16.05388641357422	5.4085903	13.783276	1.4620059	[0.00888688]
84000	-0.14927662518248241	42.6	0.05294202709214176	14.22111106770494	-16.148618698120117	0.9184773	14.511818	-0.8442725	[0.0099586]
85000	-0.08114428906259326	37.4	0.05274505881682466	20.95328136593407	-15.84362506866455	0.8985789	14.498205	0.937248	[0.01080177]
86000	-0.09602680017898704	47.2	0.20387500480140683	22.265668640308107	-16.012710571289062	1.3202524	13.4852085	-2.983979	[0.01058055]
87000	-0.12222972350578983	41.4	0.09723484997536047	18.542923178398816	-15.975152969360352	3.3031113	14.137623	-2.0126028	[0.01036265]
88000	-0.12649350337186702	42.4	0.07651648243065079	21.70345594600086	-15.941352844238281	5.590941	14.548501	-0.37549928	[0.01134868]
89000	-0.1549072135773057	52.0	0.05418660264386694	9.979979959899719	-16.1442928314209	5.32421	14.741958	2.3804703	[0.0107431]
90000	-0.14386073456999332	47.0	0.04162948133993002	12.361229712289955	-15.8485689163208	0.6228634	14.931741	-2.429719	[0.01064988]
91000	-0.11160864999301703	41.6	0.07045006255212918	16.49969696691427	-16.1951904296875	0.8392998	15.43383	0.50848114	[0.01019844]
92000	-0.16014950166678305	60.0	0.04440176451541772	0.0	-16.447463989257812	5.3003993	13.988132	-1.2230644	[0.00993787]
93000	-0.12170605589464172	51.0	0.05581152961376417	18.0	-16.186433792114258	1.1959524	15.06632	0.45950323	[0.01047241]
94000	-0.08534935117959555	33.2	0.03231372772114728	21.93080025899648	-16.4580135345459	1.3119717	15.196213	-0.1997515	[0.00990217]
95000	-0.05515614674060263	45.6	0.13867821646012252	21.70345594600086	-16.181941986083984	5.506896	13.811082	-2.848477	[0.00911284]
96000	-0.1333346679594734	50.2	0.07812315369942376	19.6	-16.255294799804688	0.9663916	14.771726	-0.38267678	[0.0098013]
97000	-0.13561803672853825	52.4	0.0830033455942919	15.200000000000001	-16.45684242248535	0.72814	14.803398	-1.5067426	[0.010066]
98000	0.11863052130515042	38.0	0.44306640956508436	27.062889720057612	-16.369592666625977	0.8680942	14.935461	1.0179107	[0.01030205]
99000	-0.1271601435436732	48.0	0.04290670707011697	18.5903200617956	-16.48255729675293	1.2421229	14.179749	0.6186233	[0.01148785]
