Training steps	Validation return	Validation steps	Validation return std	Validation steps std	Q-value evaluation	Q-network loss	Policy-network loss	Alpha loss	Alpha
41000	-0.13732795258834588	60.0	0.03646737344609108	0.0	8.712967872619629	0.030083418	-9.440524	-7.1847754	[0.0464038]
42000	-0.13711849611227375	60.0	0.051213530565500244	0.0	7.879779815673828	0.02741435	-8.730105	-8.677974	[0.04207305]
43000	-0.13745838632286217	60.0	0.04339784387906605	0.0	7.124332427978516	0.04475572	-7.894222	-7.157097	[0.0381451]
44000	-0.15601865056110462	60.0	0.038092741355354086	0.0	6.351606845855713	0.031208985	-6.9883327	-8.838983	[0.03458435]
45000	-0.1379964038140823	60.0	0.029146035312955974	0.0	5.645750045776367	0.027245522	-6.322008	-8.578841	[0.03132563]
46000	-0.11927994631094345	60.0	0.0352597714502378	0.0	4.9701995849609375	0.025363527	-5.755168	-9.432171	[0.02835326]
47000	-0.15088544481461308	60.0	0.0363273404649037	0.0	4.288542747497559	0.04422305	-4.8775373	-10.111261	[0.02564246]
48000	-0.10061309902919464	60.0	0.02267338276890993	0.0	3.6694142818450928	0.051948808	-4.027542	-8.522815	[0.02322366]
49000	-0.12602494786514784	60.0	0.05418639727812198	0.0	3.0459415912628174	0.017408147	-3.4185333	-9.098719	[0.02103973]
50000	0.09035464077948112	48.2	0.45538455496657315	23.599999999999998	2.494948625564575	0.015961394	-3.0591261	-8.460848	[0.01909868]
51000	-0.10062306348347809	54.8	0.020238376624425115	10.4	1.9584156274795532	0.15826762	-2.4371727	-8.9107	[0.01736836]
52000	-0.11278093938513614	60.0	0.014733286941543623	0.0	1.517290711402893	0.019453771	-2.0945182	-6.2679853	[0.01584681]
53000	-0.12545242060839645	60.0	0.02517747039547771	0.0	1.1196202039718628	0.02450315	-1.3951634	-5.629346	[0.01450259]
54000	-0.11246752351938934	60.0	0.03253001310167966	0.0	0.7285807132720947	0.033548713	-0.94064933	-5.8392124	[0.0133489]
55000	-0.11162383012920349	60.0	0.039927145454928085	0.0	0.43659311532974243	0.029771652	-0.7608032	-4.137379	[0.01235182]
56000	-0.09854451491327111	60.0	0.007972905218571849	0.0	0.22938089072704315	0.04388963	-0.3959961	-4.0282574	[0.01153032]
57000	-0.07899840953738947	49.4	0.06807660911802185	21.200000000000003	0.04110967367887497	0.06236186	-0.6513202	-0.8193023	[0.01084828]
58000	0.034245708862408075	39.2	0.22463729406094435	25.755776051208397	-0.11066776514053345	0.029956851	-0.37871736	-1.0007153	[0.01032752]
59000	-0.05605970750418998	49.4	0.056299728541621394	21.200000000000003	-0.11732926219701767	0.028105922	-0.4585109	1.1717186	[0.01002574]
60000	0.0159389380405359	25.2	0.15225026166131705	20.073863604199364	-0.17645961046218872	0.046391964	-0.45147392	0.52927977	[0.00986952]
61000	-0.07976564657262239	27.0	0.01165188880255529	16.780941570722426	-0.20826855301856995	0.031600907	-0.72792846	1.4633474	[0.00981236]
62000	-0.07026758261638869	50.6	0.033468007946088396	18.8	-0.19175100326538086	0.053770326	-0.488545	-0.64205724	[0.00992634]
63000	-0.11448507230080444	52.2	0.019547562433405715	15.6	-0.17844240367412567	0.02785356	-0.23009539	1.5239677	[0.00998859]
64000	0.14909726370823112	31.6	0.4258039678731488	24.1047713119208	-0.13206882774829865	0.03567808	-0.23633102	-1.253516	[0.01000274]
65000	-0.09593613830090457	60.0	0.043232980736168616	0.0	-0.1389176845550537	0.028366173	-0.4114973	-1.9324048	[0.0098556]
66000	-0.06404159660979206	41.2	0.02228715937939755	18.914544668059023	-0.14587055146694183	0.025953798	-0.5608414	-0.5262343	[0.00956422]
67000	-0.0751111032061684	60.0	0.03134878327396856	0.0	-0.18567411601543427	0.038371094	-0.38104606	-0.08504343	[0.00926543]
68000	0.1427155258288944	38.2	0.4306323757963891	26.850698314941457	-0.30068454146385193	0.051870976	-0.24731217	-0.48927844	[0.00895481]
69000	-0.03593918296020717	39.6	0.12085626597479886	25.18412198191551	-0.4007400572299957	0.018248279	-0.33790556	-1.2674346	[0.00856112]
70000	-0.09457912176634913	51.0	0.026454546582249737	18.0	-0.5418199896812439	0.01759889	0.09893061	-0.65365505	[0.00805532]
71000	-0.080926052299045	60.0	0.029303336923439862	0.0	-0.7178420424461365	0.015891064	0.05345041	0.21648091	[0.0075521]
72000	-0.07580781416586344	50.8	0.01720433605744498	18.400000000000002	-0.9348495602607727	0.026706804	0.33666492	-0.5000105	[0.0070617]
73000	0.018945464481296522	19.4	0.0674030376026578	20.597087172704786	-1.11115300655365	0.017847613	0.40717822	-2.0690632	[0.00682518]
74000	-0.09074532164256766	60.0	0.03082232851224997	0.0	-1.2438491582870483	0.0209928	0.661168	-0.76395106	[0.00676211]
75000	-0.06887639231814292	60.0	0.019744375785361357	0.0	-1.364346981048584	0.0503072	0.96662533	1.2628118	[0.00689795]
76000	0.3433931870865455	28.8	0.5362007156422344	26.603759132874437	-1.432559847831726	0.023222571	0.7257737	-0.13800989	[0.00716513]
77000	-0.03654031911714255	49.2	0.08096692951255274	21.599999999999998	-1.436266541481018	0.025864353	0.8040927	-0.11940336	[0.00751444]
78000	-0.02332602166485808	48.8	0.11691893421408454	22.400000000000002	-1.4392269849777222	0.0145196095	0.7616721	0.44380635	[0.00794106]
79000	0.019033497597339487	42.4	0.14702366667538294	23.07032726252491	-1.4023975133895874	0.009272396	0.530867	1.824781	[0.00841958]
80000	-0.056794665937218006	60.0	0.016977417031483664	0.0	-1.3591504096984863	0.016368097	0.4525821	-2.31043	[0.00886394]
81000	-0.05233934982864559	51.0	0.024953449387876095	18.0	-1.353172779083252	0.035565637	0.61541545	0.8988008	[0.0090955]
82000	-0.043478654641596115	33.6	0.07056321380934436	22.32129028528593	-1.3099663257598877	0.017176392	0.51392174	0.118074715	[0.00922978]
83000	0.004368316408533057	39.2	0.15457150434424935	25.670216204777084	-1.3262089490890503	0.012192596	0.44316503	-0.39801997	[0.00911794]
84000	-0.04685745990376259	41.2	0.033890429092266854	23.163764806265842	-1.3203556537628174	0.019945266	0.5380174	-0.18552354	[0.00894387]
85000	-0.022837697932672797	40.2	0.0516847723165544	24.350770008359078	-1.323027491569519	0.022745574	0.39402664	-0.56054765	[0.00870775]
86000	-0.050264364537899085	25.4	0.025005351127836466	17.499714283381888	-1.3057365417480469	0.01413312	0.23307578	-1.8045956	[0.0084454]
87000	-0.016065975817343415	13.0	0.07955679369462727	4.47213595499958	-1.3351248502731323	0.016763508	0.6612003	0.8450265	[0.00825925]
88000	0.005195707537798631	21.0	0.03685151440844386	19.585709075752145	-1.3548071384429932	0.024689356	0.39297017	0.366835	[0.00812527]
89000	-0.0222829157863376	41.0	0.02342078511127853	23.323807579381203	-1.3177424669265747	0.021121912	0.42989182	0.5276811	[0.00813686]
90000	-0.033596993907864206	21.8	0.03620278511437886	19.35355264544471	-1.2874127626419067	0.019234264	0.22250141	0.60015166	[0.00825171]
91000	-0.023305566009930324	39.6	0.1300193189417748	25.18412198191551	-1.2468894720077515	0.027694423	0.4429153	0.5921745	[0.00838169]
92000	-0.016908252483215216	22.8	0.1146552894700035	19.26032190800559	-1.2297024726867676	0.015798196	0.34353393	0.55382204	[0.00853012]
93000	0.04948994713046658	40.6	0.21926328741020396	24.507957891264624	-1.1960132122039795	0.013176	0.32797688	1.7999349	[0.00859132]
94000	0.018196217944525802	21.2	0.08520439241924867	19.903768487399564	-1.1571117639541626	0.011063368	0.105124384	-0.7646395	[0.00860891]
95000	0.08899846052518459	10.2	0.1195405758617414	7.277362159464101	-1.1483405828475952	0.021421928	0.3056488	1.4695705	[0.00860879]
96000	-0.02465528527018265	22.0	0.020068507266877398	19.183326093250876	-1.1318750381469727	0.020858765	0.2567117	1.5191845	[0.00855989]
97000	0.1352999202637862	27.0	0.2193931778478007	27.085051227568318	-1.1538786888122559	0.015560052	0.053107552	-0.18467659	[0.00852021]
98000	-0.013148125164809118	22.4	0.09096646016007032	19.530488985173925	-1.1324721574783325	0.018611256	0.3449289	-2.0452483	[0.00846884]
99000	-0.017394560160400276	30.0	0.050014667591793543	24.503061033266842	-1.1316025257110596	0.0132506685	0.07679553	0.04566288	[0.00838852]
100000	-0.045098611794166556	15.4	0.048506048290916384	3.4409301068170506	-1.1229056119918823	0.01440043	0.287814	0.69016206	[0.00831422]
101000	-0.023786904938680402	30.2	0.029709003526990903	24.33433787880821	-1.1389421224594116	0.023958515	0.17862335	-1.8060255	[0.00825327]
102000	0.04009407502673121	8.2	0.031258978013886544	0.7483314773547883	-1.1490345001220703	0.0091442615	0.45077026	2.8432765	[0.00820407]
103000	0.04874998322418614	19.4	0.07718588739418683	20.809613163151305	-1.1170610189437866	0.02453667	0.10363345	-2.5521297	[0.00819504]
104000	0.1625854728366582	6.8	0.18115523548819995	3.6551333764994136	-1.1075512170791626	0.010166461	0.068955004	-1.8270029	[0.00815992]
105000	-0.010684098932870334	21.6	0.028915872857043026	19.23122460999299	-1.1203316450119019	0.014126776	0.35443163	-0.65205854	[0.00810445]
106000	0.002859312812773682	12.2	0.025561629154996924	4.707440918375928	-1.0944812297821045	0.019002732	0.44201666	0.6290347	[0.00801726]
107000	0.06378951475249926	18.6	0.09247944082377102	21.010473578670233	-1.0849488973617554	0.008176928	0.10246515	-0.38031012	[0.00795435]
108000	0.016649860432229272	20.0	0.10943301661321717	20.307634032550418	-1.0639817714691162	0.017032795	0.086828426	-2.3392873	[0.00786783]
109000	0.18558957836613055	11.2	0.40915454553036723	6.462197768561405	-1.0716311931610107	0.014781816	0.24597204	0.7226569	[0.00774991]
110000	-0.0055966717895176345	21.4	0.07167733124970956	19.885673234768795	-1.0645853281021118	0.013240434	0.10758596	-0.40949607	[0.0077085]
111000	-0.06039780708903356	13.2	0.050102776798994955	2.1354156504062622	-1.0545411109924316	0.015572792	0.0029230881	0.19150877	[0.00773859]
112000	0.03018362309741731	20.8	0.0876350197528372	20.33125672456083	-1.0364131927490234	0.017724568	0.11283304	-1.8121684	[0.00769786]
113000	0.006947519496987126	9.6	0.09740483360229624	2.939387691339814	-1.0338348150253296	0.008827141	-0.13465482	1.285982	[0.00769947]
114000	0.11862855290440497	8.8	0.20298866410386793	6.273754856543249	-1.004473090171814	0.010040824	0.08668937	-3.818994	[0.0076502]
