Training steps	Validation return	Validation steps	Validation return std	Validation steps std	Q-value evaluation	Q-network loss	Policy-network loss	Alpha loss	Log Pi
65000	-0.3452490937380371	60.0	0.10756531303679887	0.0	1.0	0.24440284	-1.0	-184.72844	-1.3588889
66000	-0.2747578572180007	60.0	0.053008027543831555	0.0	1.0	0.26301134	-1.0	-189.27682	-1.3801243
67000	-0.2703986693986766	60.0	0.03691009991481277	0.0	1.0	0.20771836	-1.0	-191.10971	-1.3529992
68000	-0.2899537358137265	60.0	0.061757063733901094	0.0	1.0	0.21112877	-1.0	-193.586	-1.3378756
69000	-0.3182591915766839	60.0	0.08436808108523325	0.0	1.0	0.21558428	-1.0	-199.28114	-1.3778403
70000	-0.2769550588273588	60.0	0.06297370355241717	0.0	1.0	0.22328869	-1.0	-204.65134	-1.4110572
71000	-0.30866076355191063	60.0	0.09526189404975592	0.0	1.0	0.21899755	-1.0	-206.95247	-1.3928504
72000	-0.3123032591855868	60.0	0.059345284779323666	0.0	1.0	0.21910225	-1.0	-212.4561	-1.4269152
73000	-0.283489058856491	60.0	0.060341061526023296	0.0	1.0	0.23739691	-1.0	-211.29968	-1.3541719
74000	-0.3657610160250449	60.0	0.09114725496118596	0.0	1.0	0.21911271	-1.0	-215.69765	-1.3704774
75000	-0.27306718294122556	60.0	0.06482034922298356	0.0	1.0	0.23225048	-1.0	-219.34445	-1.3747506
76000	-0.3123938105553511	60.0	0.07540843684236723	0.0	1.0	0.21350414	-1.0	-223.525	-1.3869863
77000	-0.28251781454414676	60.0	0.0401963721183351	0.0	1.0	0.21841918	-1.0	-227.3689	-1.3938311
78000	-0.3164610233164805	60.0	0.08705984597556778	0.0	1.0	0.1908795	-1.0	-231.59885	-1.4061522
79000	-0.2826655164419833	60.0	0.034310050400645775	0.0	1.0	0.2124123	-1.0	-230.96008	-1.3475504
80000	-0.30198355855643055	60.0	0.05167718534941585	0.0	1.0	0.2084929	-1.0	-237.26678	-1.3898498
81000	-0.28355558506362766	60.0	0.042602207931918476	0.0	1.0	0.2029327	-1.0	-238.63689	-1.3614178
82000	-0.2880946548786529	60.0	0.05752578666433758	0.0	1.0	0.25404313	-1.0	-242.5979	-1.3697655
83000	-0.3265595321779043	60.0	0.08466924558553686	0.0	1.0	0.20494473	-1.0	-246.82913	-1.3815923
84000	-0.3907599814418057	60.0	0.11299564827836087	0.0	1.0	0.21308748	-1.0	-247.96185	-1.3512229
85000	-0.3250708477709999	60.0	0.07140722129311353	0.0	1.0	0.21056098	-1.0	-253.34009	-1.3782697
86000	-0.24567676708607628	60.0	0.062472882879097455	0.0	1.0	0.21209471	-1.0	-255.56142	-1.3630629
