Averaged Steps Traning	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Updates target network	Average q-value evaluation
1.0	-0.05	100.0	-33.09	862	1480	0.00022916085011250264	0.20289843072644803	129412	6363	-6.193085193634033
150.0	-50.75	90.0	-38.58	875	1500	0.021110228220621745	0.19964807179995542	131111	6363	-6.175778865814209
2.0	-0.03	80.0	-20.27	890	1520	0.0002726895244498002	0.19655654834138586	132761	6363	-6.186863899230957
150.0	-49.44	100.0	-37.56	904	1540	0.02047638258376679	0.19385219509392487	134231	6363	-6.187789440155029
143.0	-0.47	100.0	-33.47	917	1560	0.01962370536266229	0.1904864930791172	136105	6364	-6.513389587402344
150.0	-47.11	70.0	-19.39	930	1580	0.019881394995918757	0.18725957614230615	137944	6364	-6.502074718475342
116.0	-0.32	80.0	-30.03	941	1600	0.014870210587978362	0.18395766932503277	139872	6364	-6.515783786773682
32.0	-0.3	100.0	-44.43	951	1620	0.004120354446364037	0.18056371556441286	141905	6364	-6.502051830291748
30.0	-0.38	81.0	-25.83	969	1640	0.0038784112872146978	0.1786198750814414	143085	6365	-6.845664978027344
93.0	-0.41	100.0	-48.02	984	1660	0.012130133646080293	0.1758384384276983	144814	6365	-6.858956336975098
14.0	-0.21	100.0	-33.49	997	1680	0.0018500302519117082	0.17339601893503226	146362	6365	-6.8622307777404785
150.0	-72.08	100.0	-45.53	1006	1700	0.01881048791548785	0.17005786675213164	148536	6365	-6.8643479347229
45.0	-0.22	81.0	-21.78	1019	1720	0.00550181131030238	0.16765849867363228	150131	6366	-7.169433116912842
150.0	-49.65	43.0	-17.23	1028	1740	0.018417434034676387	0.1646717672427717	152168	6366	-7.17653226852417
20.0	-0.21	100.0	-39.97	1043	1760	0.0024100496010346847	0.16286431550393382	153419	6366	-7.190134525299072
150.0	-56.07	83.0	-28.66	1056	1780	0.0179908244797353	0.16037115797495605	155186	6366	-7.186799049377441
150.0	-46.33	81.0	-16.98	1067	1800	0.017591183847851223	0.1574404079793968	157319	6366	-7.186673641204834
37.0	-0.4	80.0	-47.46	1080	1820	0.004545520295153607	0.1551393222795286	159031	6367	-7.586995601654053
150.0	-52.77	25.0	-5.58	1094	1840	0.017040801437004753	0.15315150702911529	160538	6367	-7.562243938446045
54.0	-0.28	54.0	-13.72	1109	1860	0.006113766854809176	0.15133925509664264	161936	6367	-7.54293155670166
51.0	-0.26	49.0	-13.99	1126	1880	0.005789822847285169	0.14955386450388486	163338	6367	-7.5229387283325195
150.0	-64.96	100.0	-46.99	1140	1900	0.016586240467272306	0.14765333892166962	164860	6367	-7.5545477867126465
28.0	-0.22	100.0	-32.38	1153	1920	0.0030765232940514883	0.14511377907976192	166948	6368	-7.880372524261475
38.0	-0.29	83.0	-30.81	1170	1940	0.00415681145854832	0.14368366578837932	168140	6368	-7.857662200927734
150.0	-60.29	81.0	-40.31	1183	1960	0.015801339246788802	0.14152606997725892	169984	6368	-7.8590593338012695
106.0	-0.4	87.0	-31.68	1195	1980	0.011323998672793609	0.13947742416400616	171775	6368	-7.920888423919678
1.0	-0.01	70.0	-22.59	1211	2000	0.00015022730827331544	0.13767715275086934	173381	6369	-8.215065002441406
3.0	-0.05	80.0	-25.35	1219	2020	0.000344887110266355	0.13529141882402987	175568	6369	-8.194014549255371
150.0	-68.04	63.0	-24.39	1230	2040	0.015413400238635494	0.13337607097947837	177365	6369	-8.22656536102295
116.0	-0.33	100.0	-23.14	1246	2060	0.011863700510228722	0.13179256519852406	178879	6369	-8.189737319946289
59.0	-0.25	80.0	-27.26	1257	2080	0.0059022610004131615	0.12990083869170116	180731	6370	-8.559134483337402
150.0	-58.59	93.0	-31.32	1271	2100	0.014957675706772576	0.12835296800767548	182276	6370	-8.564810752868652
150.0	-51.57	65.0	-26.92	1283	2120	0.014872373837345052	0.12664036142143167	184024	6370	-8.536194801330566
59.0	-0.45	65.0	-28.58	1298	2140	0.005869026496031574	0.1251321715215321	185594	6370	-8.547571182250977
27.0	-0.13	100.0	-28.11	1309	2160	0.002629714983480948	0.12335504994690503	187489	6370	-8.529128074645996
107.0	-0.31	48.0	-16.46	1322	2180	0.010723424067191028	0.12154837894449391	189464	6371	-8.901144027709961
150.0	-67.61	37.0	-14.44	1331	2200	0.014645402431488036	0.11959194650319724	191662	6371	-8.95000171661377
64.0	-0.31	66.0	-29.19	1346	2220	0.006071230312725445	0.11843684502022982	192981	6371	-8.938836097717285
125.0	-0.36	100.0	-33.67	1363	2240	0.012009095400571823	0.11711525393308714	194521	6371	-8.885178565979004
150.0	-41.99	80.0	-20.51	1376	2260	0.013837270821090293	0.11549418430642742	196457	6372	-9.262772560119629
150.0	-63.13	89.0	-37.11	1392	2280	0.013789537078455875	0.11426796846391052	197949	6372	-9.234503746032715
27.0	-0.26	60.0	-28.49	1408	2300	0.0025267941018809444	0.11314043354311261	199345	6372	-9.22821044921875
17.0	-0.39	90.0	-25.18	1422	2320	0.0015533586000574047	0.11197765082431316	200812	6372	-9.213571548461914
150.0	-49.69	100.0	-35.57	1437	2340	0.013562084161318266	0.11072080250492819	202431	6372	-9.24612045288086
150.0	-41.36	100.0	-39.86	1449	2360	0.013340661687366032	0.10922826335420882	204402	6373	-9.545490264892578
150.0	-46.53	62.0	-22.55	1460	2380	0.013324381022894082	0.10785262620922359	206262	6373	-9.581999778747559
36.0	-0.32	100.0	-26.71	1475	2400	0.0031974610686302187	0.10665888692987877	207910	6373	-9.606526374816895
96.0	-0.3	43.0	-14.1	1488	2420	0.008364845701485626	0.10528830202232096	209849	6373	-9.61228084564209
29.0	-0.25	81.0	-30.67	1505	2440	0.0025481626635692157	0.10439168807692739	211137	6374	-9.910289764404297
107.0	-0.24	100.0	-32.69	1520	2460	0.008205063653186085	0.10322077616267081	212858	6374	-9.906994819641113
119.0	-0.21	43.0	-14.68	1534	2480	0.009365985182023818	0.10202757411525214	214652	6374	-9.920915603637695
82.0	-0.38	46.0	-14.82	1549	2500	0.006181291198730469	0.10092219346673167	216350	6374	-9.85279369354248
150.0	-42.23	100.0	-18.16	1562	2520	0.011326415008968777	0.0998184974340384	218083	6375	-10.253165245056152
150.0	-57.19	85.0	-27.42	1574	2540	0.01135881829449511	0.09867966320201504	219913	6375	-10.254267692565918
17.0	-0.24	61.0	-21.59	1587	2560	0.0013112077489495278	0.09774796028569249	221439	6375	-10.241355895996094
150.0	-63.23	100.0	-34.19	1603	2580	0.011347148861995964	0.09676681403072587	223080	6375	-10.249129295349121
150.0	-43.86	83.0	-31.98	1618	2600	0.011113340671245869	0.09574174551240106	224833	6375	-10.252766609191895
112.0	-0.26	45.0	-19.0	1632	2620	0.008406119856215616	0.09478726562105498	226500	6376	-10.588031768798828
1.0	-0.02	62.0	-9.1	1646	2640	9.268991874926018e-05	0.09402131064396482	227860	6376	-10.608199119567871
81.0	-0.54	63.0	-22.84	1658	2660	0.006029808879794931	0.0930671854854827	229593	6376	-10.588919639587402
117.0	-0.28	69.0	-25.84	1672	2680	0.008225663206470547	0.09210478320201448	231381	6376	-10.5684232711792
150.0	-64.27	77.0	-24.6	1687	2700	0.010591113479049117	0.0913428234212508	232822	6377	-10.868512153625488
92.0	-0.32	100.0	-32.63	1702	2720	0.0064632971497143015	0.09041289226311969	234622	6377	-10.876258850097656
150.0	-55.36	75.0	-24.29	1715	2740	0.01049962252595999	0.08939686913171241	236639	6377	-10.892226219177246
70.0	-0.4	28.0	-10.41	1730	2760	0.004827604863954627	0.08860662328649643	238240	6377	-10.872027397155762
31.0	-0.14	100.0	-32.73	1740	2780	0.0021215359084040143	0.08759228523729334	240350	6378	-11.19225025177002
125.0	-0.44	64.0	-21.33	1753	2800	0.008593900374003819	0.08670769292152339	242235	6378	-11.175050735473633
5.0	-0.11	100.0	-39.19	1766	2820	0.00038206754846775785	0.0859623964499674	243856	6378	-11.201822280883789
57.0	-0.29	80.0	-25.19	1781	2840	0.003784493409412008	0.0851315240851084	245706	6378	-11.226116180419922
47.0	-0.28	82.0	-25.6	1793	2860	0.003106009293269444	0.08429411789363647	247616	6379	-11.57544231414795
45.0	-0.27	100.0	-45.02	1807	2880	0.0027662742469045853	0.08353908078481159	249377	6379	-11.530665397644043
121.0	-0.42	81.0	-30.6	1819	2900	0.007336138527968834	0.08279205791998118	251159	6379	-11.540552139282227
1.0	0.0	100.0	-41.94	1834	2920	5.9709810230829945e-05	0.08229859883235283	252352	6379	-11.539587020874023
18.0	-0.25	53.0	-16.34	1848	2940	0.0010714213864332965	0.08168754969025215	253860	6379	-11.553122520446777
49.0	-0.3	82.0	-24.34	1859	2960	0.002899913449545164	0.08089513874887355	255866	6380	-11.777369499206543
150.0	-63.49	62.0	-24.84	1873	2980	0.009150618914789802	0.08015456584896781	257787	6380	-11.817234992980957
16.0	-0.17	80.0	-19.85	1887	3000	0.0009633095264434814	0.07948034734021812	259576	6380	-11.8081636428833
150.0	-47.63	100.0	-36.27	1902	3020	0.009361375325562938	0.07887204567969408	261224	6380	-11.837556838989258
5.0	-0.28	80.0	-23.75	1914	3040	0.00032965964392611853	0.07822932551484905	263005	6381	-12.16362476348877
94.0	-0.4	80.0	-26.22	1931	3060	0.005844441036772884	0.07767795780992046	264563	6381	-12.167681694030762
63.0	-0.27	75.0	-23.89	1950	3080	0.0038531228319391027	0.0773201315401547	265584	6381	-12.148578643798828
2.0	-0.09	70.0	-22.15	1964	3100	0.00015828148011238344	0.07681064069256578	267070	6381	-12.177267074584961
19.0	-0.24	46.0	-14.94	1978	3120	0.0011638853030327039	0.07616764828477264	268992	6381	-12.167651176452637
147.0	-0.38	84.0	-26.43	1991	3140	0.008831424546089902	0.07564981475297246	270571	6382	-12.523619651794434
147.0	-0.27	100.0	-20.15	2004	3160	0.00872971362705472	0.07500963997350818	272573	6382	-12.505908012390137
18.0	-0.35	50.0	-14.75	2019	3180	0.0010916798369689559	0.07452177134994792	274129	6382	-12.472320556640625
150.0	-44.79	100.0	-26.25	2035	3200	0.008910273760557174	0.07403170137788355	275724	6382	-12.537711143493652
