Averaged Steps Traning	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Updates target network	Average q-value evaluation
25.0	-0.39	100.0	-46.24	303	500	0.0011988062858581544	0.5229247805309925	40077	6333	-1.982413649559021
66.0	-0.43	81.0	-28.0	318	520	0.0030203360777634842	0.5142793179657248	41533	6333	-1.977453589439392
4.0	-0.12	70.0	-21.19	336	540	0.00015552926946569372	0.5082197394360269	42564	6333	-1.9870041608810425
121.0	-0.34	84.0	-30.63	352	560	0.005349966883659363	0.5001243371983226	43970	6333	-1.9857953786849976
97.0	-0.53	65.0	-25.12	367	580	0.004244584872804839	0.4913602120824406	45523	6334	-2.336907386779785
65.0	-0.19	80.0	-28.94	380	600	0.002659037113189697	0.48144880079935476	47320	6334	-2.332991361618042
13.0	-0.43	100.0	-43.93	393	620	0.000525133071407195	0.4714648365827199	49173	6334	-2.306259870529175
4.0	-0.14	100.0	-45.15	406	640	9.928718209266663e-05	0.46084308344249875	51195	6334	-2.3378753662109375
10.0	-0.26	69.0	-22.93	421	660	0.00035529028285633435	0.45435728238583983	52448	6334	-2.336496591567993
95.0	-0.3	85.0	-23.08	437	680	0.003443884498932782	0.446841259057321	53929	6335	-2.6530582904815674
86.0	-0.35	80.0	-19.95	451	700	0.003030310698917934	0.4387839727883207	55550	6335	-2.6524906158447266
57.0	-0.24	62.0	-16.69	464	720	0.0018595688872867161	0.43032887900586464	57289	6335	-2.6819615364074707
150.0	-48.6	62.0	-14.27	474	740	0.0052836189398894435	0.4205585083284656	59351	6335	-2.6490390300750732
79.0	-0.19	100.0	-34.52	487	760	0.0026312621016251416	0.4125858774269562	61071	6336	-3.0263195037841797
50.0	-0.22	44.0	-14.82	501	780	0.0015423172559493627	0.40447004726053626	62862	6336	-3.036494731903076
5.0	-0.11	88.0	-26.66	516	800	0.0001581147313117981	0.397017027547277	64542	6336	-3.005941152572632
23.0	-0.36	70.0	-19.35	530	820	0.0006707764253383729	0.3905412792381422	66029	6336	-3.0108227729797363
2.0	-0.03	100.0	-29.32	542	840	4.3403818493797666e-05	0.38343113406811474	67697	6337	-3.3621087074279785
15.0	-0.5	83.0	-34.45	558	860	0.0004970838857251544	0.3775199107741914	69108	6337	-3.3374831676483154
150.0	-39.32	83.0	-26.89	570	880	0.0024242379448630594	0.3703050584959647	70870	6337	-3.3699939250946045
7.0	-0.32	100.0	-42.26	583	900	0.0001848173141479492	0.36328438286241194	72623	6337	-3.351679563522339
2.0	-0.05	61.0	-25.81	597	920	2.8980555741683298e-05	0.35671266033558385	74299	6337	-3.330979585647583
150.0	-58.79	55.0	-18.07	612	940	0.003004106308551545	0.3497650045346546	76112	6338	-3.674636125564575
7.0	-0.29	82.0	-29.15	628	960	0.00016909589370091757	0.3454423868516912	77254	6338	-3.664304733276367
64.0	-0.35	83.0	-34.03	642	980	0.0015644788742065429	0.3392232408143625	78936	6338	-3.6938157081604004
1.0	-0.02	100.0	-31.54	658	1000	1.5348672866821288e-05	0.33542701280192566	79973	6338	-3.667891263961792
67.0	-0.23	64.0	-21.62	676	1020	0.0015756651466968014	0.3312056773581675	81145	6338	-3.6854922771453857
150.0	-60.92	100.0	-44.39	692	1040	0.0035868679101650532	0.32669376399700467	82419	6338	-3.6816513538360596
50.0	-0.32	50.0	-15.13	707	1060	0.001168803448946971	0.3217544359427219	83840	6339	-4.030706882476807
5.0	-0.28	100.0	-29.29	721	1080	6.540815035502115e-05	0.3150812411775359	85809	6339	-4.038511276245117
150.0	-66.39	81.0	-15.88	732	1100	0.0023714613914489744	0.3085751453762053	87777	6339	-4.024184703826904
