Training steps	Validation return	Validation steps	Validation return std	Validation steps std	Q-value evaluation	Q-network loss	Value-network loss	Policy-network loss	Alpha loss	Log Pi
224000	-0.2832239738205758	60.0	0.07796463569879188	0.0	-1.0	0.19290574	1.4210855e-14	1.0	-529.90344	-0.47603923
225000	-0.32543955100624	60.0	0.099383197379055	0.0	-1.0	0.18811893	1.4210855e-14	1.0	-538.00464	-0.5021969
226000	-0.3816751507164728	60.0	0.1078678459148135	0.0	-1.0	0.21411972	1.4210855e-14	1.0	-548.2681	-0.53813696
227000	-0.32312551048645827	60.0	0.10837760206516622	0.0	-1.0	0.19168264	1.4210855e-14	1.0	-544.88525	-0.51085806
228000	-0.2700837313354467	60.0	0.08047767625181965	0.0	-1.0	0.20534398	1.4210855e-14	1.0	-547.4722	-0.5112059
229000	-0.29476399650153035	60.0	0.07474371829616554	0.0	-1.0	0.20461565	1.4210855e-14	1.0	-542.1144	-0.47527546
230000	-0.3797717495644513	60.0	0.10858446915148295	0.0	-1.0	0.21242195	1.4210855e-14	1.0	-549.17786	-0.49611986
231000	-0.3441309128047878	60.0	0.0918876511479843	0.0	-1.0	0.1923984	1.4210855e-14	1.0	-553.1843	-0.50294805
232000	-0.05483819286018502	48.2	0.5278079632783276	23.599999999999998	-1.0	0.21067582	1.4210855e-14	1.0	-550.5702	-0.4798933
233000	-0.3164188521101241	60.0	0.07287114826830604	0.0	-1.0	0.20614263	1.4210855e-14	1.0	-547.0309	-0.4529059
234000	-0.27998044621008716	60.0	0.06540443935465458	0.0	-1.0	0.19828475	1.4210855e-14	1.0	-561.74023	-0.5076275
235000	-0.3328856561528483	60.0	0.09149959317368819	0.0	-1.0	0.23485792	1.4210855e-14	1.0	-568.593	-0.52693707
236000	-0.03431364152569178	48.2	0.5269591850833995	23.599999999999998	-1.0	0.19381389	1.4210855e-14	1.0	-555.4795	-0.45773485
237000	-0.29605574183025113	60.0	0.06588189421558506	0.0	-1.0	0.21593885	1.4210855e-14	1.0	-562.74634	-0.47891164
238000	-0.3283526236124278	60.0	0.05781366686860958	0.0	-1.0	0.20416103	1.4210855e-14	1.0	-565.14844	-0.47857058
239000	-0.3277256605013533	60.0	0.09858370543851198	0.0	-1.0	0.22089684	1.4210855e-14	1.0	-565.306	-0.46844634
240000	-0.2862122492427825	60.0	0.07651343257918486	0.0	-1.0	0.21919242	1.4210855e-14	1.0	-575.41565	-0.5016604
241000	-0.32235179535423697	60.0	0.10710948711082001	0.0	-1.0	0.21041933	1.4210855e-14	1.0	-578.63513	-0.5047668
242000	-0.2995988637470982	60.0	0.08024667655299635	0.0	-1.0	0.22256306	1.4210855e-14	1.0	-587.3751	-0.53163594
243000	-0.33811748779215656	60.0	0.058711062068553366	0.0	-1.0	0.20944923	1.4210855e-14	1.0	-566.99677	-0.4333142
244000	-0.327445810551204	60.0	0.1330846781044068	0.0	-1.0	0.23715474	1.4210855e-14	1.0	-573.6494	-0.45134658
245000	-0.39493254767082003	60.0	0.10252459005955224	0.0	-1.0	0.19445547	1.4210855e-14	1.0	-585.03894	-0.48937988
246000	-0.34226433392802347	60.0	0.097219107452957	0.0	-1.0	0.18437737	1.4210855e-14	1.0	-581.43445	-0.46356
247000	-0.3978278928848787	60.0	0.1496645467223793	0.0	-1.0	0.1931844	1.4210855e-14	1.0	-587.4772	-0.47866097
