Averaged Steps Training	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Updates target network	Average q-value evaluation
50.0	-50.0	86.0	-85.6	173	740	0.001078802186089593	0.6228141677175745	24583	6255	-13.669970512390137
50.0	-50.0	89.0	-89.0	178	760	0.0010232103498358474	0.6169444626641012	25387	6255	-12.290790557861328
50.0	-50.0	100.0	-100.0	183	780	0.0009967501346881574	0.6109665900573863	26215	6255	-12.608261108398438
50.0	-50.0	100.0	-100.0	189	800	0.001051834523677826	0.605412649163357	26991	6255	-13.635710716247559
50.0	-50.0	100.0	-100.0	191	820	0.000947077099869891	0.5988492696738024	27922	6255	-13.52061939239502
50.0	-50.0	100.0	-100.0	193	840	0.0009927244413466681	0.5922482104572364	28870	6255	-13.951431274414062
50.0	-50.0	100.0	-100.0	198	860	0.0009396020756211391	0.5868795939225786	29646	6255	-12.299760818481445
50.0	-50.0	82.0	-81.2	200	880	0.0009270787239074707	0.5805285901741628	30578	6256	-17.578083038330078
50.0	-50.0	61.0	-60.0	202	900	0.0009430842929416233	0.5744755702233353	31476	6256	-16.844839096069336
50.0	-50.0	64.0	-63.6	206	920	0.0008656045664911685	0.569101197384008	32280	6256	-16.33344078063965
50.0	-50.0	100.0	-100.0	209	940	0.0008560847728810412	0.5630374525799563	33200	6256	-15.171473503112793
8.0	-0.75	100.0	-100.0	213	960	0.00013293400406837462	0.5575518379707561	34040	6256	-16.87653923034668
50.0	-50.0	100.0	-100.0	214	980	0.0008307975165697993	0.551472539656152	34984	6256	-15.199617385864258
50.0	-50.0	81.0	-80.6	218	1000	0.0007825193405151367	0.5459183764055568	35855	6256	-15.41375732421875
50.0	-50.0	85.0	-84.6	221	1020	0.0007579455188676423	0.5405054300999791	36713	6256	-16.475570678710938
50.0	-50.0	82.0	-81.2	223	1040	0.0007770861570651715	0.5349393586866543	37606	6257	-22.902877807617188
50.0	-50.0	100.0	-100.0	226	1060	0.0007732510566711426	0.5297481839561334	38447	6257	-19.02449607849121
50.0	-50.0	64.0	-63.4	228	1080	0.0007724784038684986	0.5243219684725203	39337	6257	-19.535789489746094
50.0	-50.0	100.0	-100.0	233	1100	0.0007342782887545499	0.5196610899969721	40107	6257	-18.048452377319336
