Averaged Steps Traning	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Average q-value evaluation
60.0	-1.21	52.0	-0.87	982	5840	0.00011797126841871706	0.07445096498466947	310387	-12.022696495056152
19.0	0.04	41.0	-0.13	990	5880	3.876454976140237e-05	0.07387775949416986	312482	-12.056864738464355
60.0	-1.48	50.0	-0.78	1002	5920	0.00011475529219653156	0.07332732075794544	314541	-12.092493057250977
36.0	0.01	60.0	-1.04	1011	5960	7.329751181122441e-05	0.07278121629004959	316633	-12.12756633758545
32.0	0.01	44.0	-0.46	1019	6000	6.307820479075114e-05	0.07222343717507029	318824	-12.160277366638184
60.0	-0.78	60.0	-1.12	1023	6040	0.0001172745069920622	0.07167257119069945	321043	-12.199721336364746
60.0	-0.94	60.0	-0.96	1032	6080	0.00011632724812156275	0.0711642645986435	323139	-12.227441787719727
26.0	0.02	60.0	-1.02	1041	6120	4.428017373178519e-05	0.07067982467707544	325183	-12.262404441833496
60.0	-1.17	60.0	-1.02	1049	6160	0.00011478565730057754	0.07018493127381437	327323	-12.295326232910156
60.0	-1.36	60.0	-1.24	1058	6200	0.00011182911934391145	0.06970188127272985	329463	-12.328570365905762
60.0	-1.03	54.0	-0.89	1063	6240	0.00011481520457145495	0.06920967632347988	331700	-12.360738754272461
60.0	-0.75	52.0	-0.58	1067	6280	0.00011380804572135779	0.06872997606152548	333936	-12.395426750183105
60.0	-1.3	49.0	-0.34	1070	6320	0.0001131265601025352	0.0682602257535449	336182	-12.426015853881836
60.0	-0.94	51.0	-0.7	1075	6360	0.00011175008689832387	0.06780027892754638	338438	-12.455572128295898
60.0	-0.75	45.0	-0.27	1081	6400	0.00010895997285842896	0.06739322554523841	340480	-12.486072540283203
60.0	-1.4	60.0	-0.97	1087	6440	0.00010904343972294967	0.06698377661610785	342584	-12.517807006835938
15.0	0.06	60.0	-1.11	1098	6480	2.5055695463109898e-05	0.06658673063141585	344673	-12.545109748840332
