Averaged Steps Training	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Updates target network	Average q-value evaluation
50.0	-50.0	100.0	-100.0	2446	12660	6.363177186504924e-05	0.05071367603613307	547687	6332	-151.5720672607422
50.0	-50.0	63.0	-61.8	2447	12680	6.383704462261983e-05	0.05070514547459329	548629	6332	-155.39251708984375
50.0	-50.0	63.0	-62.4	2448	12700	6.528860002052127e-05	0.05069638601682706	549609	6332	-154.88893127441406
50.0	-50.0	63.0	-62.0	2450	12720	6.484876638688382e-05	0.0506883374025927	550519	6332	-150.53675842285156
50.0	-50.0	100.0	-100.0	2451	12740	6.712794865319269e-05	0.05067990571113917	551485	6332	-151.1100311279297
20.0	-0.9	86.0	-85.2	2454	12760	2.5826599156968647e-05	0.05067225761886588	552370	6332	-151.36036682128906
50.0	-50.0	100.0	-100.0	2458	12780	6.722299519092637e-05	0.05066523584270508	553190	6332	-151.794189453125
50.0	-50.0	81.0	-80.8	2461	12800	6.772033870220185e-05	0.050657851438492336	554063	6332	-151.96620178222656
11.0	-0.82	65.0	-64.0	2464	12820	1.4437751353437926e-05	0.0506503782576429	554957	6332	-151.4690399169922
50.0	-50.0	91.0	-90.2	2467	12840	6.344108566688228e-05	0.05064310250508883	555837	6333	-154.68678283691406
50.0	-50.0	65.0	-63.8	2471	12860	6.586354034684865e-05	0.05063597174004825	556709	6333	-159.896728515625
50.0	-50.0	100.0	-100.0	2475	12880	6.471635391993552e-05	0.05062917165976034	557549	6333	-153.09063720703125
50.0	-50.0	100.0	-100.0	2478	12900	6.557292716447698e-05	0.05062211759133653	558431	6333	-154.33103942871094
50.0	-50.0	65.0	-63.8	2481	12920	6.498340113613258e-05	0.05061537333257486	559283	6333	-154.52085876464844
47.0	-0.96	65.0	-64.0	2485	12940	5.938559079649275e-05	0.05060879349921901	560123	6333	-160.20228576660156
50.0	-50.0	100.0	-100.0	2489	12960	6.625218155943317e-05	0.0506016745162824	561044	6333	-158.7525634765625
50.0	-50.0	53.0	-51.6	2490	12980	6.445563629338481e-05	0.050594237534088676	562019	6333	-153.52685546875
50.0	-50.0	80.0	-80.0	2494	13000	6.586934969975398e-05	0.05058739154719977	562926	6334	-159.39634704589844
50.0	-50.0	100.0	-100.0	2497	13020	6.358813946514451e-05	0.0505806316881989	563832	6334	-159.65029907226562
50.0	-50.0	100.0	-100.0	2502	13040	6.142651742221387e-05	0.05057439460683006	564676	6334	-159.75723266601562
50.0	-50.0	100.0	-100.0	2505	13060	6.233106893565717e-05	0.05056760691521544	565607	6334	-154.8519287109375
49.0	-0.96	49.0	-47.6	2510	13080	6.36959659214778e-05	0.050561341316859326	566475	6334	-155.56698608398438
